;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
Total Nacional;Total;Total;44.164.417;21.570.493;22.593.924;95,5;104,7;;;;;;;;;;;;;
;;0 a 4;3.037.781;1.555.605;1.482.176;105,0;95,3;;;;;;;;;;;;;
;;5 a 9;3.335.240;1.705.574;1.629.666;104,7;95,5;;;;;;;;;;;;;
;;10 a 14;3.610.584;1.848.218;1.762.366;104,9;95,4;;;;;;;;;;;;;
;;15 a 19;3.852.255;1.970.530;1.881.725;104,7;95,5;;;;;;;;;;;;;
;;20 a 24;3.940.288;1.983.553;1.956.735;101,4;98,6;;;;;;;;;;;;;
;;25 a 29;3.692.174;1.835.158;1.857.016;98,8;101,2;;;;;;;;;;;;;
;;30 a 34;3.350.529;1.649.783;1.700.746;97,0;103,1;;;;;;;;;;;;;
;;35 a 39;3.216.644;1.560.417;1.656.227;94,2;106,1;;;;;;;;;;;;;
;;40 a 44;2.744.664;1.308.328;1.436.336;91,1;109,8;;;;;;;;;;;;;
;;45 a 49;2.646.101;1.245.829;1.400.272;89,0;112,4;;;;;;;;;;;;;
;;50 a 54;2.596.378;1.213.908;1.382.470;87,8;113,9;;;;;;;;;;;;;
;;55 a 59;2.280.799;1.057.242;1.223.557;86,4;115,7;;;;;;;;;;;;;
;;60 a 64;1.824.650;840.134;984.516;85,3;117,2;;;;;;;;;;;;;
;;65 a 69;1.390.092;639.772;750.320;85,3;117,3;;;;;;;;;;;;;
;;70 a 74;1.004.419;457.772;546.647;83,7;119,4;;;;;;;;;;;;;
;;75 a 79;730.633;325.224;405.409;80,2;124,7;;;;;;;;;;;;;
;;80 a 84;486.776;205.428;281.348;73,0;137,0;;;;;;;;;;;;;
;;85 y más;424.410;168.018;256.392;65,5;152,6;;;;;;;;;;;;;
;Cabecera;Total;34.107.027;16.324.552;17.782.475;91,8;108,9;;;;;;;;;;;;;
;;0 a 4;2.219.564;1.136.342;1.083.222;104,9;95,3;;;;;;;;;;;;;
;;5 a 9;2.409.139;1.229.407;1.179.732;104,2;96,0;;;;;;;;;;;;;
;;10 a 14;2.605.793;1.326.776;1.279.017;103,7;96,4;;;;;;;;;;;;;
;;15 a 19;2.868.416;1.449.610;1.418.806;102,2;97,9;;;;;;;;;;;;;
;;20 a 24;3.106.032;1.543.545;1.562.487;98,8;101,2;;;;;;;;;;;;;
;;25 a 29;2.959.897;1.456.776;1.503.121;96,9;103,2;;;;;;;;;;;;;
;;30 a 34;2.673.776;1.302.786;1.370.990;95,0;105,2;;;;;;;;;;;;;
;;35 a 39;2.560.816;1.222.448;1.338.368;91,3;109,5;;;;;;;;;;;;;
;;40 a 44;2.157.366;1.002.962;1.154.404;86,9;115,1;;;;;;;;;;;;;
;;45 a 49;2.081.081;949.541;1.131.540;83,9;119,2;;;;;;;;;;;;;
;;50 a 54;2.067.753;933.942;1.133.811;82,4;121,4;;;;;;;;;;;;;
;;55 a 59;1.815.669;811.152;1.004.517;80,8;123,8;;;;;;;;;;;;;
;;60 a 64;1.445.132;636.392;808.740;78,7;127,1;;;;;;;;;;;;;
;;65 a 69;1.084.269;474.774;609.495;77,9;128,4;;;;;;;;;;;;;
;;70 a 74;775.534;334.885;440.649;76,0;131,6;;;;;;;;;;;;;
;;75 a 79;560.596;235.576;325.020;72,5;138,0;;;;;;;;;;;;;
;;80 a 84;378.508;150.846;227.662;66,3;150,9;;;;;;;;;;;;;
;;85 y más;337.686;126.792;210.894;60,1;166,3;;;;;;;;;;;;;
;Centro Poblado;Total;3.147.196;1.590.743;1.556.453;102,2;97,8;;;;;;;;;;;;;
;;0 a 4;253.139;129.790;123.349;105,2;95,0;;;;;;;;;;;;;
;;5 a 9;287.343;147.586;139.757;105,6;94,7;;;;;;;;;;;;;
;;10 a 14;313.683;161.642;152.041;106,3;94,1;;;;;;;;;;;;;
;;15 a 19;307.029;158.625;148.404;106,9;93,6;;;;;;;;;;;;;
;;20 a 24;269.736;138.432;131.304;105,4;94,9;;;;;;;;;;;;;
;;25 a 29;241.377;121.656;119.721;101,6;98,4;;;;;;;;;;;;;
;;30 a 34;219.215;108.985;110.230;98,9;101,1;;;;;;;;;;;;;
;;35 a 39;210.631;104.012;106.619;97,6;102,5;;;;;;;;;;;;;
;;40 a 44;185.531;92.070;93.461;98,5;101,5;;;;;;;;;;;;;
;;45 a 49;178.831;88.956;89.875;99,0;101,0;;;;;;;;;;;;;
;;50 a 54;164.652;82.596;82.056;100,7;99,3;;;;;;;;;;;;;
;;55 a 59;139.982;69.623;70.359;99,0;101,1;;;;;;;;;;;;;
;;60 a 64;111.707;56.013;55.694;100,6;99,4;;;;;;;;;;;;;
;;65 a 69;88.234;44.357;43.877;101,1;98,9;;;;;;;;;;;;;
;;70 a 74;65.835;33.257;32.578;102,1;98,0;;;;;;;;;;;;;
;;75 a 79;50.139;24.911;25.228;98,7;101,3;;;;;;;;;;;;;
;;80 a 84;32.640;15.650;16.990;92,1;108,6;;;;;;;;;;;;;
;;85 y más;27.492;12.582;14.910;84,4;118,5;;;;;;;;;;;;;
;Rural disperso;Total;6.910.194;3.655.198;3.254.996;112,3;89,1;;;;;;;;;;;;;
;;0 a 4;565.078;289.473;275.605;105,0;95,2;;;;;;;;;;;;;
;;5 a 9;638.758;328.581;310.177;105,9;94,4;;;;;;;;;;;;;
;;10 a 14;691.108;359.800;331.308;108,6;92,1;;;;;;;;;;;;;
;;15 a 19;676.810;362.295;314.515;115,2;86,8;;;;;;;;;;;;;
;;20 a 24;564.520;301.576;262.944;114,7;87,2;;;;;;;;;;;;;
;;25 a 29;490.900;256.726;234.174;109,6;91,2;;;;;;;;;;;;;
;;30 a 34;457.538;238.012;219.526;108,4;92,2;;;;;;;;;;;;;
;;35 a 39;445.197;233.957;211.240;110,8;90,3;;;;;;;;;;;;;
;;40 a 44;401.767;213.296;188.471;113,2;88,4;;;;;;;;;;;;;
;;45 a 49;386.189;207.332;178.857;115,9;86,3;;;;;;;;;;;;;
;;50 a 54;363.973;197.370;166.603;118,5;84,4;;;;;;;;;;;;;
;;55 a 59;325.148;176.467;148.681;118,7;84,3;;;;;;;;;;;;;
;;60 a 64;267.811;147.729;120.082;123,0;81,3;;;;;;;;;;;;;
;;65 a 69;217.589;120.641;96.948;124,4;80,4;;;;;;;;;;;;;
;;70 a 74;163.050;89.630;73.420;122,1;81,9;;;;;;;;;;;;;
;;75 a 79;119.898;64.737;55.161;117,4;85,2;;;;;;;;;;;;;
;;80 a 84;75.628;38.932;36.696;106,1;94,3;;;;;;;;;;;;;
;;85 y más;59.232;28.644;30.588;93,6;106,8;;;;;;;;;;;;;
5_Antioquia;Total;Total;5.974.788;2.885.383;3.089.405;93,4;107,1;;;;;;;;;;;;;
;;0 a 4;345.333;176.817;168.516;104,9;95,3;;;;;;;;;;;;;
;;5 a 9;381.885;195.622;186.263;105,0;95,2;;;;;;;;;;;;;
;;10 a 14;450.754;230.481;220.273;104,6;95,6;;;;;;;;;;;;;
;;15 a 19;498.542;254.659;243.883;104,4;95,8;;;;;;;;;;;;;
;;20 a 24;541.149;272.044;269.105;101,1;98,9;;;;;;;;;;;;;
;;25 a 29;525.871;262.798;263.073;99,9;100,1;;;;;;;;;;;;;
;;30 a 34;473.849;234.582;239.267;98,0;102,0;;;;;;;;;;;;;
;;35 a 39;449.108;217.593;231.515;94,0;106,4;;;;;;;;;;;;;
;;40 a 44;367.163;172.252;194.911;88,4;113,2;;;;;;;;;;;;;
;;45 a 49;364.200;167.730;196.470;85,4;117,1;;;;;;;;;;;;;
;;50 a 54;382.513;174.935;207.578;84,3;118,7;;;;;;;;;;;;;
;;55 a 59;339.892;153.994;185.898;82,8;120,7;;;;;;;;;;;;;
;;60 a 64;271.563;121.372;150.191;80,8;123,7;;;;;;;;;;;;;
;;65 a 69;204.426;90.607;113.819;79,6;125,6;;;;;;;;;;;;;
;;70 a 74;145.598;63.813;81.785;78,0;128,2;;;;;;;;;;;;;
;;75 a 79;102.126;44.037;58.089;75,8;131,9;;;;;;;;;;;;;
;;80 a 84;67.557;27.764;39.793;69,8;143,3;;;;;;;;;;;;;
;;85 y más;63.259;24.283;38.976;62,3;160,5;;;;;;;;;;;;;
;Cabecera;Total;4.779.570;2.260.445;2.519.125;89,7;111,4;;;;;;;;;;;;;
;;0 a 4;260.110;133.238;126.872;105,0;95,2;;;;;;;;;;;;;
;;5 a 9;282.485;144.263;138.222;104,4;95,8;;;;;;;;;;;;;
;;10 a 14;334.515;170.019;164.496;103,4;96,8;;;;;;;;;;;;;
;;15 a 19;382.824;192.951;189.873;101,6;98,4;;;;;;;;;;;;;
;;20 a 24;441.676;219.397;222.279;98,7;101,3;;;;;;;;;;;;;
;;25 a 29;435.175;215.755;219.420;98,3;101,7;;;;;;;;;;;;;
;;30 a 34;389.844;191.353;198.491;96,4;103,7;;;;;;;;;;;;;
;;35 a 39;366.511;174.985;191.526;91,4;109,5;;;;;;;;;;;;;
;;40 a 44;295.884;135.330;160.554;84,3;118,6;;;;;;;;;;;;;
;;45 a 49;294.316;131.405;162.911;80,7;124,0;;;;;;;;;;;;;
;;50 a 54;314.068;138.922;175.146;79,3;126,1;;;;;;;;;;;;;
;;55 a 59;279.354;122.210;157.144;77,8;128,6;;;;;;;;;;;;;
;;60 a 64;222.362;95.056;127.306;74,7;133,9;;;;;;;;;;;;;
;;65 a 69;167.435;70.657;96.778;73,0;137,0;;;;;;;;;;;;;
;;70 a 74;119.009;49.354;69.655;70,9;141,1;;;;;;;;;;;;;
;;75 a 79;83.806;34.063;49.743;68,5;146,0;;;;;;;;;;;;;
;;80 a 84;56.213;21.760;34.453;63,2;158,3;;;;;;;;;;;;;
;;85 y más;53.983;19.727;34.256;57,6;173,7;;;;;;;;;;;;;
;Centro Poblado;Total;331.657;164.525;167.132;98,4;101,6;;;;;;;;;;;;;
;;0 a 4;24.730;12.618;12.112;104,2;96,0;;;;;;;;;;;;;
;;5 a 9;28.855;14.704;14.151;103,9;96,2;;;;;;;;;;;;;
;;10 a 14;33.767;17.291;16.476;104,9;95,3;;;;;;;;;;;;;
;;15 a 19;33.295;17.162;16.133;106,4;94,0;;;;;;;;;;;;;
;;20 a 24;29.484;14.793;14.691;100,7;99,3;;;;;;;;;;;;;
;;25 a 29;27.324;13.486;13.838;97,5;102,6;;;;;;;;;;;;;
;;30 a 34;24.492;11.897;12.595;94,5;105,9;;;;;;;;;;;;;
;;35 a 39;22.848;10.939;11.909;91,9;108,9;;;;;;;;;;;;;
;;40 a 44;19.052;9.146;9.906;92,3;108,3;;;;;;;;;;;;;
;;45 a 49;18.520;8.895;9.625;92,4;108,2;;;;;;;;;;;;;
;;50 a 54;17.813;8.693;9.120;95,3;104,9;;;;;;;;;;;;;
;;55 a 59;15.161;7.238;7.923;91,4;109,5;;;;;;;;;;;;;
;;60 a 64;11.785;5.764;6.021;95,7;104,5;;;;;;;;;;;;;
;;65 a 69;8.524;4.206;4.318;97,4;102,7;;;;;;;;;;;;;
;;70 a 74;6.170;3.005;3.165;94,9;105,3;;;;;;;;;;;;;
;;75 a 79;4.499;2.214;2.285;96,9;103,2;;;;;;;;;;;;;
;;80 a 84;2.839;1.344;1.495;89,9;111,2;;;;;;;;;;;;;
;;85 y más;2.499;1.130;1.369;82,5;121,2;;;;;;;;;;;;;
;Rural disperso;Total;863.561;460.413;403.148;114,2;87,6;;;;;;;;;;;;;
;;0 a 4;60.493;30.961;29.532;104,8;95,4;;;;;;;;;;;;;
;;5 a 9;70.545;36.655;33.890;108,2;92,5;;;;;;;;;;;;;
;;10 a 14;82.472;43.171;39.301;109,8;91,0;;;;;;;;;;;;;
;;15 a 19;82.423;44.546;37.877;117,6;85,0;;;;;;;;;;;;;
;;20 a 24;69.989;37.854;32.135;117,8;84,9;;;;;;;;;;;;;
;;25 a 29;63.372;33.557;29.815;112,6;88,8;;;;;;;;;;;;;
;;30 a 34;59.513;31.332;28.181;111,2;89,9;;;;;;;;;;;;;
;;35 a 39;59.749;31.669;28.080;112,8;88,7;;;;;;;;;;;;;
;;40 a 44;52.227;27.776;24.451;113,6;88,0;;;;;;;;;;;;;
;;45 a 49;51.364;27.430;23.934;114,6;87,3;;;;;;;;;;;;;
;;50 a 54;50.632;27.320;23.312;117,2;85,3;;;;;;;;;;;;;
;;55 a 59;45.377;24.546;20.831;117,8;84,9;;;;;;;;;;;;;
;;60 a 64;37.416;20.552;16.864;121,9;82,1;;;;;;;;;;;;;
;;65 a 69;28.467;15.744;12.723;123,7;80,8;;;;;;;;;;;;;
;;70 a 74;20.419;11.454;8.965;127,8;78,3;;;;;;;;;;;;;
;;75 a 79;13.821;7.760;6.061;128,0;78,1;;;;;;;;;;;;;
;;80 a 84;8.505;4.660;3.845;121,2;82,5;;;;;;;;;;;;;
;;85 y más;6.777;3.426;3.351;102,2;97,8;;;;;;;;;;;;;
8_Atlántico;Total;Total;2.342.265;1.140.357;1.201.908;94,9;105,4;;;;;;;;;;;;;
;;0 a 4;179.913;91.708;88.205;104,0;96,2;;;;;;;;;;;;;
;;5 a 9;186.738;95.364;91.374;104,4;95,8;;;;;;;;;;;;;
;;10 a 14;190.049;97.106;92.943;104,5;95,7;;;;;;;;;;;;;
;;15 a 19;208.277;105.871;102.406;103,4;96,7;;;;;;;;;;;;;
;;20 a 24;206.817;103.302;103.515;99,8;100,2;;;;;;;;;;;;;
;;25 a 29;196.859;97.709;99.150;98,5;101,5;;;;;;;;;;;;;
;;30 a 34;178.501;88.028;90.473;97,3;102,8;;;;;;;;;;;;;
;;35 a 39;171.579;82.882;88.697;93,4;107,0;;;;;;;;;;;;;
;;40 a 44;143.671;68.421;75.250;90,9;110,0;;;;;;;;;;;;;
;;45 a 49;136.869;64.660;72.209;89,5;111,7;;;;;;;;;;;;;
;;50 a 54;134.997;63.023;71.974;87,6;114,2;;;;;;;;;;;;;
;;55 a 59;118.360;54.842;63.518;86,3;115,8;;;;;;;;;;;;;
;;60 a 64;92.130;42.323;49.807;85,0;117,7;;;;;;;;;;;;;
;;65 a 69;68.925;31.128;37.797;82,4;121,4;;;;;;;;;;;;;
;;70 a 74;47.992;21.458;26.534;80,9;123,7;;;;;;;;;;;;;
;;75 a 79;34.860;15.014;19.846;75,7;132,2;;;;;;;;;;;;;
;;80 a 84;23.861;9.504;14.357;66,2;151,1;;;;;;;;;;;;;
;;85 y más;21.867;8.014;13.853;57,9;172,9;;;;;;;;;;;;;
;Cabecera;Total;2.225.854;1.079.404;1.146.450;94,2;106,2;;;;;;;;;;;;;
;;0 a 4;169.661;86.448;83.213;103,9;96,3;;;;;;;;;;;;;
;;5 a 9;176.027;89.861;86.166;104,3;95,9;;;;;;;;;;;;;
;;10 a 14;178.888;91.321;87.567;104,3;95,9;;;;;;;;;;;;;
;;15 a 19;197.100;100.099;97.001;103,2;96,9;;;;;;;;;;;;;
;;20 a 24;197.101;98.299;98.802;99,5;100,5;;;;;;;;;;;;;
;;25 a 29;187.780;93.072;94.708;98,3;101,8;;;;;;;;;;;;;
;;30 a 34;170.497;83.780;86.717;96,6;103,5;;;;;;;;;;;;;
;;35 a 39;163.976;79.031;84.945;93,0;107,5;;;;;;;;;;;;;
;;40 a 44;136.908;64.813;72.095;89,9;111,2;;;;;;;;;;;;;
;;45 a 49;130.136;61.073;69.063;88,4;113,1;;;;;;;;;;;;;
;;50 a 54;128.821;59.662;69.159;86,3;115,9;;;;;;;;;;;;;
;;55 a 59;113.004;51.931;61.073;85,0;117,6;;;;;;;;;;;;;
;;60 a 64;88.086;40.117;47.969;83,6;119,6;;;;;;;;;;;;;
;;65 a 69;65.690;29.335;36.355;80,7;123,9;;;;;;;;;;;;;
;;70 a 74;45.559;20.103;25.456;79,0;126,6;;;;;;;;;;;;;
;;75 a 79;33.073;14.045;19.028;73,8;135,5;;;;;;;;;;;;;
;;80 a 84;22.697;8.877;13.820;64,2;155,7;;;;;;;;;;;;;
;;85 y más;20.850;7.537;13.313;56,6;176,6;;;;;;;;;;;;;
;Centro Poblado;Total;86.322;44.141;42.181;104,6;95,6;;;;;;;;;;;;;
;;0 a 4;7.460;3.821;3.639;105,0;95,2;;;;;;;;;;;;;
;;5 a 9;7.806;3.998;3.808;105,0;95,2;;;;;;;;;;;;;
;;10 a 14;8.125;4.183;3.942;106,1;94,2;;;;;;;;;;;;;
;;15 a 19;8.448;4.362;4.086;106,8;93,7;;;;;;;;;;;;;
;;20 a 24;7.254;3.702;3.552;104,2;95,9;;;;;;;;;;;;;
;;25 a 29;6.828;3.453;3.375;102,3;97,7;;;;;;;;;;;;;
;;30 a 34;5.838;3.066;2.772;110,6;90,4;;;;;;;;;;;;;
;;35 a 39;5.582;2.728;2.854;95,6;104,6;;;;;;;;;;;;;
;;40 a 44;4.955;2.565;2.390;107,3;93,2;;;;;;;;;;;;;
;;45 a 49;4.935;2.509;2.426;103,4;96,7;;;;;;;;;;;;;
;;50 a 54;4.538;2.370;2.168;109,3;91,5;;;;;;;;;;;;;
;;55 a 59;3.964;2.021;1.943;104,0;96,1;;;;;;;;;;;;;
;;60 a 64;3.012;1.554;1.458;106,6;93,8;;;;;;;;;;;;;
;;65 a 69;2.408;1.241;1.167;106,3;94,0;;;;;;;;;;;;;
;;70 a 74;1.870;952;918;103,7;96,4;;;;;;;;;;;;;
;;75 a 79;1.458;734;724;101,4;98,6;;;;;;;;;;;;;
;;80 a 84;974;499;475;105,1;95,2;;;;;;;;;;;;;
;;85 y más;867;383;484;79,1;126,4;;;;;;;;;;;;;
;Rural disperso;Total;30.089;16.812;13.277;126,6;79,0;;;;;;;;;;;;;
;;0 a 4;2.792;1.439;1.353;106,4;94,0;;;;;;;;;;;;;
;;5 a 9;2.905;1.505;1.400;107,5;93,0;;;;;;;;;;;;;
;;10 a 14;3.036;1.602;1.434;111,7;89,5;;;;;;;;;;;;;
;;15 a 19;2.729;1.410;1.319;106,9;93,5;;;;;;;;;;;;;
;;20 a 24;2.462;1.301;1.161;112,1;89,2;;;;;;;;;;;;;
;;25 a 29;2.251;1.184;1.067;111,0;90,1;;;;;;;;;;;;;
;;30 a 34;2.166;1.182;984;120,1;83,2;;;;;;;;;;;;;
;;35 a 39;2.021;1.123;898;125,1;80,0;;;;;;;;;;;;;
;;40 a 44;1.808;1.043;765;136,3;73,3;;;;;;;;;;;;;
;;45 a 49;1.798;1.078;720;149,7;66,8;;;;;;;;;;;;;
;;50 a 54;1.638;991;647;153,2;65,3;;;;;;;;;;;;;
;;55 a 59;1.392;890;502;177,3;56,4;;;;;;;;;;;;;
;;60 a 64;1.032;652;380;171,6;58,3;;;;;;;;;;;;;
;;65 a 69;827;552;275;200,7;49,8;;;;;;;;;;;;;
;;70 a 74;563;403;160;251,9;39,7;;;;;;;;;;;;;
;;75 a 79;329;235;94;250,0;40,0;;;;;;;;;;;;;
;;80 a 84;190;128;62;206,5;48,4;;;;;;;;;;;;;
;;85 y más;150;94;56;167,9;59,6;;;;;;;;;;;;;
11_Bogotá, D.C.;Total;Total;7.181.469;3.433.586;3.747.883;91,6;109,2;;;;;;;;;;;;;
;;0 a 4;412.145;211.128;201.017;105,0;95,2;;;;;;;;;;;;;
;;5 a 9;447.995;228.123;219.872;103,8;96,4;;;;;;;;;;;;;
;;10 a 14;473.810;241.423;232.387;103,9;96,3;;;;;;;;;;;;;
;;15 a 19;555.707;279.911;275.796;101,5;98,5;;;;;;;;;;;;;
;;20 a 24;696.708;346.803;349.905;99,1;100,9;;;;;;;;;;;;;
;;25 a 29;679.633;337.916;341.717;98,9;101,1;;;;;;;;;;;;;
;;30 a 34;608.553;301.163;307.390;98,0;102,1;;;;;;;;;;;;;
;;35 a 39;574.614;277.944;296.670;93,7;106,7;;;;;;;;;;;;;
;;40 a 44;479.794;224.362;255.432;87,8;113,8;;;;;;;;;;;;;
;;45 a 49;453.150;207.297;245.853;84,3;118,6;;;;;;;;;;;;;
;;50 a 54;452.595;203.920;248.675;82,0;121,9;;;;;;;;;;;;;
;;55 a 59;399.977;177.520;222.457;79,8;125,3;;;;;;;;;;;;;
;;60 a 64;310.476;135.470;175.006;77,4;129,2;;;;;;;;;;;;;
;;65 a 69;226.924;97.586;129.338;75,5;132,5;;;;;;;;;;;;;
;;70 a 74;158.643;66.859;91.784;72,8;137,3;;;;;;;;;;;;;
;;75 a 79;112.072;45.668;66.404;68,8;145,4;;;;;;;;;;;;;
;;80 a 84;74.093;28.049;46.044;60,9;164,2;;;;;;;;;;;;;
;;85 y más;64.580;22.444;42.136;53,3;187,7;;;;;;;;;;;;;
;Cabecera;Total;7.166.249;3.425.658;3.740.591;91,6;109,2;;;;;;;;;;;;;
;;0 a 4;411.040;210.548;200.492;105,0;95,2;;;;;;;;;;;;;
;;5 a 9;446.827;227.545;219.282;103,8;96,4;;;;;;;;;;;;;
;;10 a 14;472.551;240.776;231.775;103,9;96,3;;;;;;;;;;;;;
;;15 a 19;554.293;279.153;275.140;101,5;98,6;;;;;;;;;;;;;
;;20 a 24;695.320;346.076;349.244;99,1;100,9;;;;;;;;;;;;;
;;25 a 29;678.334;337.239;341.095;98,9;101,1;;;;;;;;;;;;;
;;30 a 34;607.371;300.545;306.826;98,0;102,1;;;;;;;;;;;;;
;;35 a 39;573.525;277.346;296.179;93,6;106,8;;;;;;;;;;;;;
;;40 a 44;478.832;223.874;254.958;87,8;113,9;;;;;;;;;;;;;
;;45 a 49;452.250;206.839;245.411;84,3;118,6;;;;;;;;;;;;;
;;50 a 54;451.651;203.436;248.215;82,0;122,0;;;;;;;;;;;;;
;;55 a 59;399.187;177.116;222.071;79,8;125,4;;;;;;;;;;;;;
;;60 a 64;309.886;135.149;174.737;77,3;129,3;;;;;;;;;;;;;
;;65 a 69;226.508;97.354;129.154;75,4;132,7;;;;;;;;;;;;;
;;70 a 74;158.323;66.692;91.631;72,8;137,4;;;;;;;;;;;;;
;;75 a 79;111.886;45.561;66.325;68,7;145,6;;;;;;;;;;;;;
;;80 a 84;73.974;28.003;45.971;60,9;164,2;;;;;;;;;;;;;
;;85 y más;64.491;22.406;42.085;53,2;187,8;;;;;;;;;;;;;
;Centro Poblado;Total;2.525;1.275;1.250;102,0;98,0;;;;;;;;;;;;;
;;0 a 4;197;102;95;107,4;93,1;;;;;;;;;;;;;
;;5 a 9;166;89;77;115,6;86,5;;;;;;;;;;;;;
;;10 a 14;201;94;107;87,9;113,8;;;;;;;;;;;;;
;;15 a 19;225;113;112;100,9;99,1;;;;;;;;;;;;;
;;20 a 24;259;130;129;100,8;99,2;;;;;;;;;;;;;
;;25 a 29;235;117;118;99,2;100,9;;;;;;;;;;;;;
;;30 a 34;207;110;97;113,4;88,2;;;;;;;;;;;;;
;;35 a 39;188;100;88;113,6;88,0;;;;;;;;;;;;;
;;40 a 44;165;76;89;85,4;117,1;;;;;;;;;;;;;
;;45 a 49;165;84;81;103,7;96,4;;;;;;;;;;;;;
;;50 a 54;169;84;85;98,8;101,2;;;;;;;;;;;;;
;;55 a 59;118;61;57;107,0;93,4;;;;;;;;;;;;;
;;60 a 64;70;35;35;100,0;100,0;;;;;;;;;;;;;
;;65 a 69;56;31;25;124,0;80,6;;;;;;;;;;;;;
;;70 a 74;53;28;25;112,0;89,3;;;;;;;;;;;;;
;;75 a 79;22;11;11;100,0;100,0;;;;;;;;;;;;;
;;80 a 84;13;3;10;30,0;333,3;;;;;;;;;;;;;
;;85 y más;16;7;9;77,8;128,6;;;;;;;;;;;;;
;Rural disperso;Total;12.695;6.653;6.042;110,1;90,8;;;;;;;;;;;;;
;;0 a 4;908;478;430;111,2;90,0;;;;;;;;;;;;;
;;5 a 9;1.002;489;513;95,3;104,9;;;;;;;;;;;;;
;;10 a 14;1.058;553;505;109,5;91,3;;;;;;;;;;;;;
;;15 a 19;1.189;645;544;118,6;84,3;;;;;;;;;;;;;
;;20 a 24;1.129;597;532;112,2;89,1;;;;;;;;;;;;;
;;25 a 29;1.064;560;504;111,1;90,0;;;;;;;;;;;;;
;;30 a 34;975;508;467;108,8;91,9;;;;;;;;;;;;;
;;35 a 39;901;498;403;123,6;80,9;;;;;;;;;;;;;
;;40 a 44;797;412;385;107,0;93,4;;;;;;;;;;;;;
;;45 a 49;735;374;361;103,6;96,5;;;;;;;;;;;;;
;;50 a 54;775;400;375;106,7;93,8;;;;;;;;;;;;;
;;55 a 59;672;343;329;104,3;95,9;;;;;;;;;;;;;
;;60 a 64;520;286;234;122,2;81,8;;;;;;;;;;;;;
;;65 a 69;360;201;159;126,4;79,1;;;;;;;;;;;;;
;;70 a 74;267;139;128;108,6;92,1;;;;;;;;;;;;;
;;75 a 79;164;96;68;141,2;70,8;;;;;;;;;;;;;
;;80 a 84;106;43;63;68,3;146,5;;;;;;;;;;;;;
;;85 y más;73;31;42;73,8;135,5;;;;;;;;;;;;;
13_Bolívar;Total;Total;1.909.460;947.598;961.862;98,5;101,5;;;;;;;;;;;;;
;;0 a 4;161.339;82.492;78.847;104,6;95,6;;;;;;;;;;;;;
;;5 a 9;175.014;89.891;85.123;105,6;94,7;;;;;;;;;;;;;
;;10 a 14;177.561;91.560;86.001;106,5;93,9;;;;;;;;;;;;;
;;15 a 19;176.914;90.422;86.492;104,5;95,7;;;;;;;;;;;;;
;;20 a 24;165.363;83.084;82.279;101,0;99,0;;;;;;;;;;;;;
;;25 a 29;154.206;76.906;77.300;99,5;100,5;;;;;;;;;;;;;
;;30 a 34;138.111;68.094;70.017;97,3;102,8;;;;;;;;;;;;;
;;35 a 39;129.599;63.041;66.558;94,7;105,6;;;;;;;;;;;;;
;;40 a 44;111.923;54.390;57.533;94,5;105,8;;;;;;;;;;;;;
;;45 a 49;106.967;51.907;55.060;94,3;106,1;;;;;;;;;;;;;
;;50 a 54;102.711;49.749;52.962;93,9;106,5;;;;;;;;;;;;;
;;55 a 59;86.910;41.882;45.028;93,0;107,5;;;;;;;;;;;;;
;;60 a 64;69.031;33.173;35.858;92,5;108,1;;;;;;;;;;;;;
;;65 a 69;52.736;25.239;27.497;91,8;108,9;;;;;;;;;;;;;
;;70 a 74;36.988;17.395;19.593;88,8;112,6;;;;;;;;;;;;;
;;75 a 79;28.176;13.146;15.030;87,5;114,3;;;;;;;;;;;;;
;;80 a 84;18.308;8.027;10.281;78,1;128,1;;;;;;;;;;;;;
;;85 y más;17.603;7.200;10.403;69,2;144,5;;;;;;;;;;;;;
;Cabecera;Total;1.437.564;699.635;737.929;94,8;105,5;;;;;;;;;;;;;
;;0 a 4;116.297;59.617;56.680;105,2;95,1;;;;;;;;;;;;;
;;5 a 9;124.469;63.868;60.601;105,4;94,9;;;;;;;;;;;;;
;;10 a 14;125.578;64.451;61.127;105,4;94,8;;;;;;;;;;;;;
;;15 a 19;129.524;65.232;64.292;101,5;98,6;;;;;;;;;;;;;
;;20 a 24;126.021;62.590;63.431;98,7;101,3;;;;;;;;;;;;;
;;25 a 29;119.779;59.081;60.698;97,3;102,7;;;;;;;;;;;;;
;;30 a 34;106.959;52.084;54.875;94,9;105,4;;;;;;;;;;;;;
